GROWER NAME,SAMPLE ID,LAB NUMBER,OM,ENR,P1,P2,K,MG,CA,NA,PH,BPH,H MEQ,CEC,PERCENT K,PERCENT MG,PERCENT CA,PERCENT H,PERCENT NA,NO3,S,ZN,MN,FE,CU,B,SOL SALTS,CL OR AL,MO,BICARB,EX LIME RATE,SUB NO3 1,SUB NO3 2
INFEWS SUBMISSION 1,1,40942129,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,2,40942130,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,3,40942131,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,4,40942132,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,5,40942133,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,6,40942134,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,7,40942135,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,8,40942136,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,9,40942137,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,10,40942138,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,11,40942139,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,12,40942140,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,14,40942141,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,15,40942142,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,16,40942143,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,17,40942144,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,18,40942145,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,21,40942146,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,25,40942147,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,26,40942148,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,27,40942149,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,28,40942150,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,29,40942151,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFEWS SUBMISSION 1,30,40942152,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
